service,dependent_service_loss,self_downtime,expected_system_impact,affected_service_ratio,affected_service_count
google_cloud_dns,94.22836249999999,5.0,0.942283625,0.6428571428571429,9
cloud_cdn,94.18775000000001,5.0,0.9418775000000001,0.5714285714285714,8
cloud_load_balancing,94.145,5.0,1.8829,0.5,7
frontend_cloud_run,89.10000000000001,10.0,2.673,0.42857142857142855,6
accounts_api_cloud_run,69.0,15.0,2.7600000000000002,0.2857142857142857,4
read_api_cloud_run,32.0,15.0,1.28,0.14285714285714285,2
category_service_cloud_run,0.0,20.0,0.0,0.0,0
budget_service_cloud_run,0.0,20.0,0.0,0.0,0
notification_service_cloud_run,0.0,20.0,0.0,0.0,0
transaction_extraction_service_cloud_run,0.0,25.0,0.0,0.0,0
cloud_memorystore,84.15,10.0,2.5245,0.42857142857142855,6
queue_pub_sub,37.25,10.0,1.1175,0.14285714285714285,2
cloud_sql,78.85,30.0,5.5195,0.35714285714285715,5
cloud_sql_read_replica,42.300000000000004,25.0,2.115,0.21428571428571427,3
cloud_storage,21.25,20.0,0.85,0.07142857142857142,1
