service,dependent_service_loss,self_downtime,expected_system_impact,affected_service_ratio,affected_service_count
google_cloud_dns,87.939495,174.0,0.263818485,0.6153846153846154,8
cloud_cdn,803.1054999999999,174.0,3.6139747499999992,0.5384615384615384,7
cloud_load_balancing,826.83,118.0,4.96098,0.46153846153846156,6
google_app_engine,744.7,174.0,11.1705,0.38461538461538464,5
apigee,0.0,176.0,0.0,0.0,0
cloud_functions,0.0,174.0,0.0,0.0,0
dataflow,0.0,379.0,0.0,0.0,0
api_gateway,0.0,139.0,0.0,0.0,0
api_gateway_read,0.0,139.0,0.0,0.0,0
google_cloud_pub_sub,303.2,176.0,3.1836,0.07692307692307693,1
cloud_memorystore,336.8,150.0,6.062399999999999,0.23076923076923078,3
cloud_sql,520.9,522.0,3.1254,0.23076923076923078,3
cloud_sql_read_replica,241.34999999999997,174.0,1.0860749999999997,0.15384615384615385,2
cloud_storage,322.15,299.0,1.4496749999999998,0.07692307692307693,1
