service,dependent_service_loss,self_downtime,expected_system_impact,affected_service_ratio,affected_service_count
google_cloud_dns,131.98842,261.0,0.26397684,0.6153846153846154,8
cloud_cdn,1205.5380000000002,261.0,3.6166140000000007,0.5384615384615384,7
cloud_load_balancing,1241.28,177.0,4.96512,0.46153846153846156,6
google_app_engine,1118.2,261.0,11.182,0.38461538461538464,5
apigee,0.0,264.0,0.0,0.0,0
cloud_functions,0.0,261.0,0.0,0.0,0
dataflow,0.0,569.0,0.0,0.0,0
api_gateway,0.0,209.0,0.0,0.0,0
api_gateway_read,0.0,209.0,0.0,0.0,0
google_cloud_pub_sub,455.20000000000005,264.0,3.1864000000000003,0.07692307692307693,1
cloud_memorystore,506.0,225.0,6.072,0.23076923076923078,3
cloud_sql,782.15,783.0,3.1286,0.23076923076923078,3
cloud_sql_read_replica,362.45,261.0,1.08735,0.15384615384615385,2
cloud_storage,483.65,449.0,1.45095,0.07692307692307693,1
