service,dependent_service_loss,self_downtime,expected_system_impact,affected_service_ratio,affected_service_count
google_cloud_dns,119.567059425,5.0,1.1956705942499999,0.6428571428571429,9
cloud_cdn,115.7748075,5.0,1.157748075,0.5714285714285714,8
cloud_load_balancing,111.94425000000001,5.0,2.2388850000000002,0.5,7
frontend_cloud_run,103.075,10.0,3.09225,0.42857142857142855,6
accounts_api_cloud_run,78.5,15.0,3.14,0.2857142857142857,4
read_api_cloud_run,36.0,15.0,1.44,0.14285714285714285,2
category_service_cloud_run,0.0,20.0,0.0,0.0,0
budget_service_cloud_run,0.0,20.0,0.0,0.0,0
notification_service_cloud_run,0.0,20.0,0.0,0.0,0
transaction_extraction_service_cloud_run,0.0,25.0,0.0,0.0,0
cloud_memorystore,103.075,10.0,3.09225,0.42857142857142855,6
queue_pub_sub,42.75,10.0,1.2825,0.14285714285714285,2
cloud_sql,91.2,30.0,6.384000000000001,0.35714285714285715,5
cloud_sql_read_replica,48.45,25.0,2.4225000000000003,0.21428571428571427,3
cloud_storage,23.75,20.0,0.9500000000000001,0.07142857142857142,1
