service,dependent_service_loss,self_downtime,expected_system_impact,affected_service_ratio,affected_service_count
google_cloud_dns,26.714362499999996,5.0,0.267143625,0.6428571428571429,9
cloud_cdn,33.163374999999995,5.0,0.33163374999999995,0.5714285714285714,8
cloud_load_balancing,42.37625,5.0,0.847525,0.5,7
frontend_cloud_run,50.537499999999994,10.0,1.5161249999999997,0.42857142857142855,6
accounts_api_cloud_run,47.75,15.0,1.9100000000000001,0.2857142857142857,4
read_api_cloud_run,24.0,15.0,0.96,0.14285714285714285,2
category_service_cloud_run,0.0,20.0,0.0,0.0,0
budget_service_cloud_run,0.0,20.0,0.0,0.0,0
notification_service_cloud_run,0.0,20.0,0.0,0.0,0
transaction_extraction_service_cloud_run,0.0,25.0,0.0,0.0,0
cloud_memorystore,46.650000000000006,10.0,1.3995000000000002,0.42857142857142855,6
google_cloud_pub_sub,26.0,10.0,0.78,0.14285714285714285,2
cloud_sql,48.099999999999994,30.0,3.367,0.35714285714285715,5
cloud_sql_read_replica,25.35,25.0,1.2675,0.21428571428571427,3
cloud_storage,15.0,20.0,0.6,0.07142857142857142,1
