source,target,probability
cloud_cdn,google_cloud_dns,0.99
cloud_load_balancing,cloud_cdn,0.99
frontend_cloud_run,cloud_load_balancing,0.99
accounts_api_cloud_run,frontend_cloud_run,0.95
read_api_cloud_run,frontend_cloud_run,0.95
category_service_cloud_run,accounts_api_cloud_run,0.95
budget_service_cloud_run,accounts_api_cloud_run,0.95
transaction_extraction_service_cloud_run,accounts_api_cloud_run,0.90
notification_service_cloud_run,accounts_api_cloud_run,0.90
category_service_cloud_run,read_api_cloud_run,0.90
budget_service_cloud_run,read_api_cloud_run,0.90
accounts_api_cloud_run,cloud_sql,0.95
transaction_extraction_service_cloud_run,cloud_sql,0.95
read_api_cloud_run,cloud_sql_read_replica,0.95
accounts_api_cloud_run,cloud_memorystore,0.95
read_api_cloud_run,cloud_memorystore,0.95
notification_service_cloud_run,google_cloud_pub_sub,0.95
transaction_extraction_service_cloud_run,google_cloud_pub_sub,0.95
transaction_extraction_service_cloud_run,cloud_storage,0.95
