source,target,probability
cloud_cdn,google_cloud_dns,0.70
cloud_load_balancing,cloud_cdn,0.70
frontend_cloud_run,cloud_load_balancing,0.70
accounts_api_cloud_run,frontend_cloud_run,0.65
read_api_cloud_run,frontend_cloud_run,0.65
category_service_cloud_run,accounts_api_cloud_run,0.60
budget_service_cloud_run,accounts_api_cloud_run,0.60
transaction_extraction_service_cloud_run,accounts_api_cloud_run,0.55
notification_service_cloud_run,accounts_api_cloud_run,0.50
category_service_cloud_run,read_api_cloud_run,0.60
budget_service_cloud_run,read_api_cloud_run,0.60
accounts_api_cloud_run,cloud_sql,0.65
transaction_extraction_service_cloud_run,cloud_sql,0.65
read_api_cloud_run,cloud_sql_read_replica,0.65
accounts_api_cloud_run,cloud_memorystore,0.60
read_api_cloud_run,cloud_memorystore,0.60
notification_service_cloud_run,queue_pub_sub,0.55
transaction_extraction_service_cloud_run,queue_pub_sub,0.60
transaction_extraction_service_cloud_run,cloud_storage,0.60
